"Дата","Время","Площадка","Категория","Id товара"
"datetime","parsing_time","platform","category","inner_product_id"
"2020-11-02","00:00:00",1,"",198632931
"2020-11-13","00:00:00",1,"",206359904
"2020-11-29","00:00:00",1,"",207742988
"2020-10-29","00:00:00",1,"",182461826
"2020-12-26","00:00:00",1,"",218981045
"2020-10-31","00:00:00",1,"",148723635
"2020-10-30","00:00:00",1,"",168753898
"2020-11-20","00:00:00",1,"",205944139
"2020-10-30","00:00:00",1,"",191416440
"2020-11-20","00:00:00",1,"",203177875
"2020-12-24","00:00:00",1,"",217243899
"2020-10-31","00:00:00",1,"",193337104
"2020-11-06","00:00:00",1,"",158900005
"2020-10-29","00:00:00",1,"",198991304
"2021-01-25","00:00:00",1,"",224235590
"2020-12-11","00:00:00",1,"",215991703
"2020-12-02","00:00:00",1,"",212380195
"2021-01-11","00:00:00",1,"",220921842
"2020-12-16","00:00:00",1,"",170485677
"2021-02-18","00:00:00",1,"",230957210
"2021-02-12","00:00:00",1,"",225490218
"2021-01-16","00:00:00",1,"",221591439
"2021-01-28","00:00:00",1,"",225410391
"2020-10-24","00:00:00",1,"",183850452
"2020-10-31","00:00:00",1,"",139564857
"2020-11-16","00:00:00",1,"",161787228
"2020-10-30","00:00:00",1,"",201586670
"2020-11-19","00:00:00",1,"",207207734
"2020-11-24","00:00:00",1,"",208967770
"2020-12-01","00:00:00",1,"",211437362
"2020-12-22","00:00:00",1,"",216868998
"2020-12-02","00:00:00",1,"",194633581
"2020-10-30","00:00:00",1,"",184544767
"2020-11-15","00:00:00",1,"",149928610
"2020-12-29","00:00:00",1,"",219327176
"2020-10-24","00:00:00",1,"",172718159
"2020-12-28","00:00:00",1,"",216502445
"2020-12-13","00:00:00",1,"",214611393
"2020-12-13","00:00:00",1,"",213768821
"2020-10-31","00:00:00",1,"",185259930
"2020-11-04","00:00:00",1,"",162403703
"2021-01-05","00:00:00",1,"",165247683
"2020-12-24","00:00:00",1,"",218480263
"2021-02-02","00:00:00",1,"",225628467
"2020-10-25","00:00:00",1,"",191540321
"2020-10-31","00:00:00",1,"",203316106
"2020-11-24","00:00:00",1,"",205787474
"2020-10-24","00:00:00",1,"",177548847
"2020-10-25","00:00:00",1,"",168599283
"2020-12-06","00:00:00",1,"",166327243
"2020-11-13","00:00:00",1,"",206481785
"2020-11-07","00:00:00",1,"",205113037
"2021-01-11","00:00:00",1,"",213892716
"2020-10-24","00:00:00",1,"",154517938
"2020-12-01","00:00:00",1,"",210934528
"2020-12-08","00:00:00",1,"",214487512
"2020-10-31","00:00:00",1,"",192928823
"2020-10-26","00:00:00",1,"",185119619
"2020-11-21","00:00:00",1,"",176875090
"2021-01-15","00:00:00",1,"",222161853
"2020-10-31","00:00:00",1,"",164734705
"2020-12-17","00:00:00",1,"",217009311
"2020-10-31","00:00:00",1,"",197259692
"2020-10-31","00:00:00",1,"",200070336
"2020-10-24","00:00:00",1,"",169471653
"2020-12-31","00:00:00",1,"",219838202
"2020-10-24","00:00:00",1,"",182064289
"2021-02-05","00:00:00",1,"",226739750
"2020-10-31","00:00:00",1,"",174535880
"2021-01-11","00:00:00",1,"",219398947
"2020-10-30","00:00:00",1,"",184452116
"2021-02-04","00:00:00",1,"",227177471
"2020-11-05","00:00:00",1,"",192729541
